"","pronostico.mean"
"1",-304637810.836994
"2",3204582407.54925
"3",2444407078.11076
"4",1192163569.74285
"5",1854651930.72869
"6",2780098051.38598
"7",6020008818.14963
"8",5799238293.42772
"9",6663268192.98857
"10",5936978985.9779
"11",5355464985.86371
"12",5947092593.03945
